Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,congo-kinshasa
2020-01-23,0,0,0,congo-kinshasa
2020-01-24,0,0,0,congo-kinshasa
2020-01-25,0,0,0,congo-kinshasa
2020-01-26,0,0,0,congo-kinshasa
2020-01-27,0,0,0,congo-kinshasa
2020-01-28,0,0,0,congo-kinshasa
2020-01-29,0,0,0,congo-kinshasa
2020-01-30,0,0,0,congo-kinshasa
2020-01-31,0,0,0,congo-kinshasa
2020-02-01,0,0,0,congo-kinshasa
2020-02-02,0,0,0,congo-kinshasa
2020-02-03,0,0,0,congo-kinshasa
2020-02-04,0,0,0,congo-kinshasa
2020-02-05,0,0,0,congo-kinshasa
2020-02-06,0,0,0,congo-kinshasa
2020-02-07,0,0,0,congo-kinshasa
2020-02-08,0,0,0,congo-kinshasa
2020-02-09,0,0,0,congo-kinshasa
2020-02-10,0,0,0,congo-kinshasa
2020-02-11,0,0,0,congo-kinshasa
2020-02-12,0,0,0,congo-kinshasa
2020-02-13,0,0,0,congo-kinshasa
2020-02-14,0,0,0,congo-kinshasa
2020-02-15,0,0,0,congo-kinshasa
2020-02-16,0,0,0,congo-kinshasa
2020-02-17,0,0,0,congo-kinshasa
2020-02-18,0,0,0,congo-kinshasa
2020-02-19,0,0,0,congo-kinshasa
2020-02-20,0,0,0,congo-kinshasa
2020-02-21,0,0,0,congo-kinshasa
2020-02-22,0,0,0,congo-kinshasa
2020-02-23,0,0,0,congo-kinshasa
2020-02-24,0,0,0,congo-kinshasa
2020-02-25,0,0,0,congo-kinshasa
2020-02-26,0,0,0,congo-kinshasa
2020-02-27,0,0,0,congo-kinshasa
2020-02-28,0,0,0,congo-kinshasa
2020-02-29,0,0,0,congo-kinshasa
2020-03-01,0,0,0,congo-kinshasa
2020-03-02,0,0,0,congo-kinshasa
2020-03-03,0,0,0,congo-kinshasa
2020-03-04,0,0,0,congo-kinshasa
2020-03-05,0,0,0,congo-kinshasa
2020-03-06,0,0,0,congo-kinshasa
2020-03-07,0,0,0,congo-kinshasa
2020-03-08,0,0,0,congo-kinshasa
2020-03-09,0,0,0,congo-kinshasa
2020-03-10,0,0,0,congo-kinshasa
2020-03-11,0,0,1,congo-kinshasa
2020-03-12,0,0,1,congo-kinshasa
2020-03-13,0,0,2,congo-kinshasa
2020-03-14,0,0,2,congo-kinshasa
2020-03-15,0,0,2,congo-kinshasa
2020-03-16,0,0,2,congo-kinshasa
2020-03-17,0,0,3,congo-kinshasa
2020-03-18,0,0,4,congo-kinshasa
2020-03-19,0,0,14,congo-kinshasa
2020-03-20,0,0,18,congo-kinshasa
2020-03-21,0,1,23,congo-kinshasa
2020-03-22,0,1,30,congo-kinshasa
2020-03-23,0,1,36,congo-kinshasa
2020-03-24,0,2,45,congo-kinshasa
2020-03-25,0,2,48,congo-kinshasa
2020-03-26,0,3,51,congo-kinshasa
2020-03-27,2,3,51,congo-kinshasa
2020-03-28,2,6,65,congo-kinshasa
2020-03-29,2,6,65,congo-kinshasa
2020-03-30,2,8,81,congo-kinshasa
2020-03-31,2,8,98,congo-kinshasa
2020-04-01,3,9,109,congo-kinshasa
2020-04-02,3,13,134,congo-kinshasa
2020-04-03,3,13,134,congo-kinshasa
2020-04-04,3,18,154,congo-kinshasa
2020-04-05,3,18,154,congo-kinshasa
2020-04-06,5,18,161,congo-kinshasa
2020-04-07,9,18,180,congo-kinshasa
2020-04-08,9,18,180,congo-kinshasa
2020-04-09,9,18,180,congo-kinshasa
2020-04-10,13,20,215,congo-kinshasa
2020-04-11,16,20,223,congo-kinshasa
2020-04-12,16,20,234,congo-kinshasa
2020-04-13,16,20,234,congo-kinshasa
